employee_id,name,phone,salary,job_role
1,Sana Malik,0305920943,65429.22,Inventory Clerk
2,Khadija Ansari,0314629867,67452.43,Cashier
3,Sadia Mirza,0315820363,68288.21,Store Manager
4,Ahmad Iqbal,0345452456,68132.88,Inventory Clerk
5,Hafsa Raza,0325112235,63171.9,Inventory Clerk
6,Zainab Shah,0302073208,58304.89,Sales Rep
7,Umar Memon,0337704812,52817.69,Sales Rep
8,Muhammad Chaudhry,0343484326,70187.35,Sales Rep
9,Zain Syed,0308921844,66509.21,Inventory Clerk
10,Usman Ali,0342814692,78112.62,Cashier
11,Sana Chaudhry,0319551737,71495.0,Store Manager
12,Hassan Malik,0332104885,58894.43,Inventory Clerk
13,Amna Ahmed,0307151224,79486.37,Sales Rep
14,Maryam Khan,0322270842,38509.56,Inventory Clerk
15,Hassan Raza,0325204167,64933.08,Inventory Clerk
16,Tariq Syed,0323235113,60413.25,Inventory Clerk
17,Hassan Sheikh,0304808011,42190.48,Store Manager
18,Ahmad Iqbal,0337673209,36353.67,Store Manager
19,Ahmad Raza,0332869698,62831.73,Inventory Clerk
20,Ali Ansari,0341717491,37768.85,Inventory Clerk
21,Muhammad Mirza,0303232054,59806.74,Inventory Clerk
22,Bilal Qureshi,0327716830,68539.74,Sales Rep
23,Hassan Sheikh,0325426194,51271.23,Inventory Clerk
24,Ali Qureshi,0319694342,57925.47,Inventory Clerk
25,Bilal Sheikh,0319982348,74456.82,Store Manager
26,Zainab Qureshi,0329024979,35941.14,Store Manager
27,Bilal Raza,0331313119,73218.7,Sales Rep
28,Ali Baig,0345497252,79904.32,Cashier
29,Ali Syed,0322876576,45953.41,Store Manager
30,Usman Sheikh,0339193396,72056.05,Sales Rep
31,Sadia Ali,0337419761,76083.29,Cashier
32,Zainab Shah,0318204788,51137.33,Store Manager
33,Ayesha Ahmed,0318019915,63890.73,Sales Rep
34,Hussain Malik,0323320157,43400.49,Store Manager
35,Ayesha Iqbal,0345978281,68201.49,Store Manager
36,Ali Ansari,0338365350,73905.81,Store Manager
37,Usman Malik,0342117307,64253.88,Sales Rep
38,Maryam Syed,0307439291,57272.22,Cashier
39,Maryam Ansari,0312439454,42652.36,Cashier
40,Hassan Ahmed,0327411127,58825.73,Store Manager
41,Sana Iqbal,0323172536,51114.01,Inventory Clerk
42,Ayesha Mirza,0314999381,74437.19,Store Manager
43,Sana Iqbal,0348786081,37092.79,Inventory Clerk
44,Amna Ali,0304113790,62387.99,Sales Rep
45,Ahmad Baig,0314267545,53493.59,Sales Rep
46,Hussain Malik,0338825719,68333.69,Inventory Clerk
47,Maryam Khan,0302614522,42723.45,Cashier
48,Sadia Sheikh,0312657975,51921.23,Sales Rep
49,Zainab Ahmed,0342038636,37410.9,Inventory Clerk
50,Usman Sheikh,0313746741,79949.61,Store Manager
